time,Open,High,Low,Close,Volume
2024-10-07 21:00:00+00:00,63013.82,63361.16,62978.2,63354.16,165.68819364
2024-10-07 22:00:00+00:00,63353.85,63359.9,62407.84,62439.4,335.96833775
2024-10-07 23:00:00+00:00,62443.34,62662.49,62113.28,62200.28,565.77638377
2024-10-08 00:00:00+00:00,62203.82,62568.52,62139.43,62531.96,261.8715253
2024-10-08 01:00:00+00:00,62528.15,62709.59,62291.16,62607.57,182.59058047
2024-10-08 02:00:00+00:00,62607.57,62774.94,62393.3,62769.07,120.70135017
2024-10-08 03:00:00+00:00,62764.56,62811.25,62530.87,62612.61,111.64035843
2024-10-08 04:00:00+00:00,62612.71,62768.7,62514.09,62674.16,80.62421097
2024-10-08 05:00:00+00:00,62671.98,62713.5,62284.05,62486.7,130.3031372
2024-10-08 06:00:00+00:00,62491.54,62504.5,62172.66,62482.23,109.62187337
2024-10-08 07:00:00+00:00,62482.34,62484.2,61976.74,62289.2,213.71911228
2024-10-08 08:00:00+00:00,62289.21,62423.92,62155.08,62395.49,79.87980766
2024-10-08 09:00:00+00:00,62396.28,62569.54,62281.02,62515.32,61.6921351
2024-10-08 10:00:00+00:00,62515.32,62569.54,62386.56,62497.48,106.07717437
2024-10-08 11:00:00+00:00,62497.46,62642.79,62437.21,62597.18,88.32838909
2024-10-08 12:00:00+00:00,62597.19,62652.48,62397.0,62412.28,123.95905808
2024-10-08 13:00:00+00:00,62409.11,63039.94,62300.07,63009.96,633.40293636
2024-10-08 14:00:00+00:00,63012.59,63191.05,62125.7,62748.68,879.82777805
2024-10-08 15:00:00+00:00,62748.69,62814.43,61850.0,62258.27,633.80075877
2024-10-08 16:00:00+00:00,62258.26,62566.01,62012.37,62526.88,313.67763984
2024-10-08 17:00:00+00:00,62526.88,62531.82,62046.66,62359.69,284.46122415
2024-10-08 18:00:00+00:00,62357.65,62484.54,61885.59,62076.53,325.38713996
2024-10-08 19:00:00+00:00,62076.52,62322.65,61824.48,62216.84,1064.98089425
2024-10-08 20:00:00+00:00,62215.1,62368.83,62103.61,62344.09,191.87852961
2024-10-08 21:00:00+00:00,62344.16,62528.27,62271.05,62389.45,188.46556922
2024-10-08 22:00:00+00:00,62394.13,62418.63,62109.0,62137.22,201.48662141
2024-10-08 23:00:00+00:00,62137.23,62241.65,61978.2,62122.02,177.95254331
2024-10-09 00:00:00+00:00,62118.44,62237.84,61964.88,62117.34,118.96931386
2024-10-09 01:00:00+00:00,62117.61,62466.08,62066.98,62357.94,175.25857424
2024-10-09 02:00:00+00:00,62369.4,62387.33,62220.38,62233.2,68.39496765
2024-10-09 03:00:00+00:00,62231.14,62424.58,62110.55,62347.88,120.16646908
2024-10-09 04:00:00+00:00,62347.71,62400.0,62260.61,62310.48,67.56070377
2024-10-09 05:00:00+00:00,62310.48,62507.68,62308.09,62489.62,104.23877016
2024-10-09 06:00:00+00:00,62489.62,62504.32,62339.2,62400.0,39.13355623
2024-10-09 07:00:00+00:00,62399.99,62399.99,62152.55,62233.87,60.94523803
2024-10-09 08:00:00+00:00,62233.87,62253.7,62013.0,62108.97,121.82356752
2024-10-09 09:00:00+00:00,62108.97,62230.15,62051.12,62209.6,106.79189503
2024-10-09 10:00:00+00:00,62215.33,62215.33,62005.0,62099.09,124.17357063
2024-10-09 11:00:00+00:00,62096.33,62171.52,62050.99,62149.18,77.6161387
2024-10-09 12:00:00+00:00,62149.17,62177.64,61706.2,61919.39,407.74491842
2024-10-09 13:00:00+00:00,61917.13,61995.66,61696.96,61739.71,437.10874492
2024-10-09 14:00:00+00:00,61745.44,61976.73,61571.34,61819.7,350.46037973
2024-10-09 15:00:00+00:00,61819.7,62365.99,61726.39,62266.46,472.83211605
2024-10-09 16:00:00+00:00,62266.46,62296.64,61632.02,61766.5,445.47749013
2024-10-09 17:00:00+00:00,61758.74,61856.26,61613.59,61699.85,241.72245684
2024-10-09 18:00:00+00:00,61699.86,61779.58,61095.01,61137.69,765.85349928
2024-10-09 19:00:00+00:00,61137.69,61161.47,60770.0,60968.18,1360.61354585
2024-10-09 20:00:00+00:00,60969.2,61078.08,60255.0,60371.54,879.63070202
2024-10-09 21:00:00+00:00,60370.58,60913.2,60313.05,60857.61,459.74544962
2024-10-09 22:00:00+00:00,60857.6,60873.59,60640.36,60746.85,254.63184988
2024-10-09 23:00:00+00:00,60746.86,60777.41,60546.69,60578.28,321.4733173
2024-10-10 00:00:00+00:00,60578.28,60630.12,60305.35,60374.49,402.8123695
2024-10-10 01:00:00+00:00,60374.49,60790.0,60364.95,60736.94,273.22489477
2024-10-10 02:00:00+00:00,60737.07,60876.18,60642.74,60817.46,124.47498781
2024-10-10 03:00:00+00:00,60817.46,60900.52,60754.34,60805.03,100.38271313
2024-10-10 04:00:00+00:00,60803.84,60891.46,60750.88,60804.63,102.06005949
2024-10-10 05:00:00+00:00,60804.64,60985.44,60779.3,60873.74,188.65046227
2024-10-10 06:00:00+00:00,60873.74,61096.3,60820.4,61078.37,227.47349351
2024-10-10 07:00:00+00:00,61077.46,61091.11,60833.0,60835.02,84.42977463
2024-10-10 08:00:00+00:00,60835.02,61018.31,60732.32,60758.12,245.21624228
2024-10-10 09:00:00+00:00,60758.12,60917.01,60562.5,60872.06,154.61987438
2024-10-10 10:00:00+00:00,60872.06,61149.56,60860.58,60991.18,133.82536251
2024-10-10 11:00:00+00:00,60996.89,61239.92,60976.78,61181.57,123.56424868
2024-10-10 12:00:00+00:00,61181.59,61271.59,60684.4,60902.09,475.45271446
2024-10-10 13:00:00+00:00,60896.68,61196.1,60537.03,60869.54,583.35800016
2024-10-10 14:00:00+00:00,60866.67,60994.69,60438.41,60522.71,469.21000893
